category,Description
Ketchup,Sauces tomate
Ketchup,Tomato sauces
Pistaches grillées,Pistaches
Crèmes de marrons,Produits à tartiner sucrés
Crèmes de marrons,Pâtes à tartiner végétales
Crèmes de marrons,Confitures
Châtaigne d'Ardèche,Crèmes de marrons
Shortbread,Biscuits sablés
Guacamoles,Mélange d'épices pour guacamole
Guacamoles,Trempettes
Boissons avec sucre ajouté,Boissons sans sucre ajouté
Boissons avec sucre ajouté,Café au lait sucré
Boissons avec sucre ajouté,Bières aromatisées
Boissons avec sucre ajouté,Boissons sans alcool
Boissons avec sucre ajouté,Sirops de pêche
Boissons avec sucre ajouté,Cafés en dosettes compatible Dolce Gusto
Boissons avec sucre ajouté,Sirops de citron
Boissons avec sucre ajouté,Sirops de cassis
Boissons avec sucre ajouté,Boissons
Boissons avec sucre ajouté,Thés au citron
Boissons avec sucre ajouté,Eau tonique
Boissons avec sucre ajouté,Sodas à l'orange
Boissons avec sucre ajouté,Nectars de fruits
Boissons avec sucre ajouté,Bière de gingembre
Boissons avec sucre ajouté,Thés glacés
Boissons avec sucre ajouté,Thés glacés saveur pêche
Boissons avec sucre ajouté,Laits d'amande
Boissons avec sucre ajouté,Sodas light
Boissons avec sucre ajouté,Sodas au cola light
Boissons avec sucre ajouté,Boisson énergisante sucrée
Boissons avec sucre ajouté,Soupes déshydratées
Boissons avec sucre ajouté,Boissons édulcorées
Boissons avec sucre ajouté,Boisson à l'eau minérale aromatisée sucrée
Boissons avec sucre ajouté,Nectars de mangue
Boissons avec sucre ajouté,Sirops aromatisés
Boissons avec sucre ajouté,Sirops de citron vert
Boissons avec sucre ajouté,Sodas au cola
Boissons avec sucre ajouté,Boissons végétales de soja au chocolat
Boissons avec sucre ajouté,Limonade sucrée
Boissons avec sucre ajouté,Laits et crèmes de coco
Boissons avec sucre ajouté,Laits aromatisés au chocolat
Boissons avec sucre ajouté,Sirops de framboise
Boissons avec sucre ajouté,Boissons à la canneberge
Boissons avec sucre ajouté,Sodas aux fruits
Boissons avec sucre ajouté,Boissons au thé
Boissons avec sucre ajouté,Boissons plates aux fruits sucrées
Boissons avec sucre ajouté,Sodas
Boissons avec sucre ajouté,Cola sucré
Boissons avec sucre ajouté,Eaux aromatisées
Boissons avec sucre ajouté,Sirops d'orgeat
Boissons avec sucre ajouté,Nectars de pêche
Boissons avec sucre ajouté,Sirops de pomme
Boissons avec sucre ajouté,Boissons lactées au café
Boissons avec sucre ajouté,Boissons plates aux fruits sucrées avec 10 à 50% de jus
Boissons avec sucre ajouté,Eaux
Boissons avec sucre ajouté,Boissons gazeuses sucrées sans jus de fruit
Boissons avec sucre ajouté,Sirops de grenadine
Boissons avec sucre ajouté,Yaourts à boire goût fraise
Boissons avec sucre ajouté,Sirops de fraise
Boissons avec sucre ajouté,Sodas au citron light
Boissons avec sucre ajouté,Boissons à l'aloe vera
Boissons avec sucre ajouté,Boissons énergisantes
Boissons avec sucre ajouté,Boissons gazeuses sans jus de fruit sucrées avec édulcorants
Boissons avec sucre ajouté,Bières sans alcool
Boissons avec sucre ajouté,Boissons aux fruits
Boissons avec sucre ajouté,Eaux gazeuses aromatisées
Boissons avec sucre ajouté,Jus de fruits
Boissons avec sucre ajouté,Boissons plates aux fruits
Boissons avec sucre ajouté,Yaourts à boire
Boissons avec sucre ajouté,Ice tea light
Boissons avec sucre ajouté,Sirops de menthe
Boissons avec sucre ajouté,Eaux gazeuses
Boissons avec sucre ajouté,Boissons végétales de noisette
Boissons avec sucre ajouté,Sodas à l'orange light
Boissons avec sucre ajouté,Limonades
Boissons avec sucre ajouté,Boissons gazeuses
Boissons avec sucre ajouté,Jus multifruits
Boissons avec sucre ajouté,Chocolats en poudre
Boissons avec sucre ajouté,Sodas au citron
Boissons avec sucre ajouté,Sirops mojito
Boissons avec sucre ajouté,Sirops d'orange
Boissons avec sucre ajouté,Boissons à l'orange
Sesame oils,Cereal oils
Sauces aigre douces,Sauces
Limonades,Erfrischungsgetränke
Limonades,Sodas
Sodas,Boissons gazeuses
Sodas,Carbonated drinks
Sodas,Boissons édulcorées
Sodas,Boissons aux fruits
Blend écossais,Boissons sans sucre ajouté
Blend écossais,Whisky écossais
Sauces,Condiments
Sauces,Aides culinaires
Bevande zuccherate,Thè freddi
Boisson au thé sucré avec édulcorants,Boissons avec sucre ajouté
Gezuckerte Getränke,Orangensirups
Gezuckerte Getränke,Cola
Gezuckerte Getränke,Teegetränke
Beurres de cacahuètes,Beurres de légumineuses
Beurres de cacahuètes,Beurres de fruits à coques
Pâtes alimentaires,Céréales et dérivés
Pâtes alimentaires,Plats à base de pâtes
Sauces chili,Sauces
Bières,Boissons alcoolisées
Purée de pois chiches,Houmous
Rhums,Eaux de vie
Sweetened beverages,Carbonated soft drinks without fruit juice with sugar
Sweetened beverages,Sodas
Sweetened beverages,Non alcoholic beers
Sweetened beverages,Energy drinks
Sweetened beverages,Cocoa powder for beverages with sugar
Sweetened beverages,Unsweetened beverages
Sweetened beverages,Fruit sodas
Sweetened beverages,Beverages
Sweetened beverages,Iced teas
Sweetened beverages,Frozen foods
Sweetened beverages,Light fruit sodas
Sweetened beverages,Tonic water
Sweetened beverages,Powdered cappucino
Sweetened beverages,Orange soft drinks
Sweetened beverages,Grenadine
Sweetened beverages,Chocolate almond based drinks
Open Beauty Facts,Non food products
Open Beauty Facts,Prodotti non alimentari
Open Beauty Facts,Non alimentaire
Cosmétique,
Bananes séchées,Fruits secs
Fritures végétales,Fritures
Coconut waters,Plant based beverages
Jus de fruits,Jus et nectars
Pâtes de riz,Pâtes alimentaires
Boissons alcoolisées,Boissons
Jus multifruits pur jus,Jus de fruits pur jus
Jus multifruits pur jus,Jus multifruits frais
Jus de fruits pur jus,Jus de fruits
Jus de fruits pur jus,Smoothies
Jus de fruits pur jus,Jus de grenade
Jus de fruits pur jus,Jus multifruits
Jus de fruits pur jus,Jus de pamplemousse
