Price,Price per Unit,Brand,category,Description,URL,Shop,DescBrand,Keyword
2.55,5.1,RUMMO,fusilli rummo,Fusilli n48,https://www.auchan.fr/rummo-fusilli-n48/pr-C1229762,Auchan,RUMMO Fusilli n48,fusilli rummo
3.09,6.18,Rummo,fusilli rummo,Fusilli n48,https://www.franprix.fr/courses/p/fusilli-n48-99118495,Franprix,Rummo Fusilli n48,fusilli rummo
2.89,5.78,Rummo,fusilli rummo,Fusilli n48,https://www.monoprix.fr/courses/fusilli-n48-rummo-2339292-p,Monoprix,Rummo Fusilli n48,fusilli rummo
0.99,3.96,,tomates cerises,Tomates cerises rondes prix bas,https://www.auchan.fr/tomates-cerises-rondes-prix-bas/pr-C1350858,Auchan,nan Tomates cerises rondes prix bas,tomates cerises
0.99,3.96,,tomates cerises,Tomates cerises allongées,https://www.carrefour.fr/p/tomates-cerises-allongees-3276550232704?t=1882,Carrefour,nan Tomates cerises allongées,tomates cerises
1.8,18.0,franprix,tomates cerises,Confit de tomates séchées,https://www.franprix.fr/courses/p/confit-de-tomates-sechees-99059487,Franprix,franprix Confit de tomates séchées,tomates cerises
2.99,11.96,Florelli,tomates cerises,Sauce aux tomates cerises et mascarpone,https://www.monoprix.fr/courses/sauce-aux-tomates-cerises-et-mascarpone-florelli-2625268-p,Monoprix,Florelli Sauce aux tomates cerises et mascarpone,tomates cerises
2.37,4.74,AUCHAN,cremes glacees,Glace à la vanille,https://www.auchan.fr/auchan-glace-a-la-vanille/pr-C1178254,Auchan,AUCHAN Glace à la vanille,cremes glacees
3.8,8.05,CARREFOUR,cremes glacees,Glace façon Rocher chocolat  noisettes,https://www.carrefour.fr/p/glace-facon-rocher-chocolat-noisettes-carrefour-3560071247898?t=2074,Carrefour,CARREFOUR Glace façon Rocher chocolat  noisettes,cremes glacees
1.64,14.91,Super twister,cremes glacees,Glace orange fraise,https://www.franprix.fr/courses/p/glace-orange-fraise-99179302,Franprix,Super twister Glace orange fraise,cremes glacees
2.49,4.98,Monoprix,cremes glacees,Crème glacée vanille,https://www.monoprix.fr/courses/creme-glacee-vanille-monoprix-3391562-p,Monoprix,Monoprix Crème glacée vanille,cremes glacees
0.99,0.17,POUCE,oeufs standards,Œufs de poule,https://www.auchan.fr/pouce-oeufs-de-poule/pr-C1608829,Auchan,POUCE Œufs de poule,oeufs standards
2.4,19.2,Sodebo,oeufs standards,Sandwitch thon et œuf,https://www.franprix.fr/courses/p/sandwitch-thon-et-uf-99189487,Franprix,Sodebo Sandwitch thon et œuf,oeufs standards
1.99,3.98,Monoprix,oeufs standards,Brioche aux oeufs frais tranche,https://www.monoprix.fr/courses/brioche-aux-oeufs-frais-tranche-monoprix-1772498-p,Monoprix,Monoprix Brioche aux oeufs frais tranche,oeufs standards
1.68,3.36,Franprix,oeufs bio,Spaghettis Bio,https://www.franprix.fr/courses/p/spaghettis-bio-99129620,Franprix,Franprix Spaghettis Bio,oeufs bio
3.09,0.52,MONOP BIOLOGIQUE  Bio,oeufs bio,Oeufs bio frais,https://www.monoprix.fr/courses/oeufs-bio-frais-monop-biologique-4231091-p,Monoprix,MONOP BIOLOGIQUE  Bio Oeufs bio frais,oeufs bio
2.69,13.45,BARILLA,pesto barilla,Sauce pesto rosso au vinaigre balsamique de Modène en bocal,https://www.auchan.fr/barilla-sauce-pesto-rosso-au-vinaigre-balsamique-de-modene-en-bocal/pr-C1224635,Auchan,BARILLA Sauce pesto rosso au vinaigre balsamique de Modène en bocal,pesto barilla
2.15,23.89,BARILLA,pesto barilla,Sauce pesto genovese basilic frais monoportion,https://www.carrefour.fr/p/sauce-pesto-genovese-basilic-frais-monoportion-barilla-8076809580427?t=2112,Carrefour,BARILLA Sauce pesto genovese basilic frais monoportion,pesto barilla
2.36,26.22,Barilla,pesto barilla,Sauce pesto,https://www.franprix.fr/courses/p/sauce-pesto-99183171,Franprix,Barilla Sauce pesto,pesto barilla
2.15,23.89,Barilla,pesto barilla,Barilla sauce pesto genovese monoportion 90g,https://www.monoprix.fr/courses/barilla-sauce-pesto-genovese-monoportion-90g-barilla-5354327-p,Monoprix,Barilla Barilla sauce pesto genovese monoportion 90g,pesto barilla
2.69,14.16,BARILLA,pesto genovese,Sauce pesto alla genovese au basilic frais et parmesan en bocal,https://www.auchan.fr/barilla-sauce-pesto-alla-genovese-au-basilic-frais-et-parmesan-en-bocal/pr-C1240935,Auchan,BARILLA Sauce pesto alla genovese au basilic frais et parmesan en bocal,pesto genovese
2.15,23.89,BARILLA,pesto genovese,Sauce pesto genovese basilic frais monoportion,https://www.carrefour.fr/p/sauce-pesto-genovese-basilic-frais-monoportion-barilla-8076809580427?t=2112,Carrefour,BARILLA Sauce pesto genovese basilic frais monoportion,pesto genovese
3.6,18.95,Barilla,pesto genovese,Sauce pesto alla genovese,https://www.franprix.fr/courses/p/sauce-pesto-alla-genovese-99010919,Franprix,Barilla Sauce pesto alla genovese,pesto genovese
1.89,9.95,Monoprix,pesto genovese,Pesto à la Genovese,https://www.monoprix.fr/courses/pesto-a-la-genovese-monoprix-3822625-p,Monoprix,Monoprix Pesto à la Genovese,pesto genovese
7.49,13.62,L ITALIE DES PIZZAS,pizza quiches croques monsieur,   Pizza capricciosa artichauts jambon cuit et champignons,https://www.auchan.fr/l-italie-des-pizzas-pizza-capricciosa-artichauts-jambon-cuit-et-champignons/pr-C1382617,Auchan,L ITALIE DES PIZZAS    Pizza capricciosa artichauts jambon cuit et champignons,pizza quiches croques monsieur
2.8,14.74,My pie,pizza quiches croques monsieur,My pie pizza saumon cuit,https://www.franprix.fr/courses/p/my-pie-pizza-saumon-cuit-99189387,Franprix,My pie My pie pizza saumon cuit,pizza quiches croques monsieur
2.89,12.57,Bonne Maman,pizza quiches croques monsieur,Bm petites mad nature 235g,https://www.monoprix.fr/courses/bm-petites-mad-nature-235g-bonne-maman-6606359-p,Monoprix,Bonne Maman Bm petites mad nature 235g,pizza quiches croques monsieur
