Description,category
Haricots verts,Haricots verts surgelés
Œufs de poules,Œufs de poules élevées en plein air
Œufs de poules,Œufs de poules élevées au sol
Œufs de poules,Œufs fermiers Label Rouge
Œufs de poules,Œufs frais
Fruits and vegetables based foods,Vegetables based foods
Céréales et pommes de terre,Snacks salés
Céréales et pommes de terre,Pommes de terre
Céréales et pommes de terre,Surgelés
Céréales et pommes de terre,Céréales et dérivés
Céréales et pommes de terre,Pains
Céréales et pommes de terre,Tartines craquantes extrudées
Beurres de baratte,BEURRES & MARGARINES
Fromages à pâte filée,Burrate
Fromages à pâte filée,Mozzarella
Fromages à pâte filée,Fromages pour enfants
Viennoiseries,Gâches
Viennoiseries,Vienna bread
Viennoiseries,Brioches
Viennoiseries,Croissants
Viennoiseries,Beignets sucrés
Viennoiseries,Pains briochés
Viennoiseries,Pains au chocolat
Viennoiseries,Pains aux raisins
Viennoiseries,Pains au lait
Pains de mie,Pains de mie aux céréales
Pains de mie,Pain de mie au son
Pains de mie,Pains de mie blancs
Pains de mie,Pains de mie sans croûte
Pains de mie,Biscuit sec aux fruits
Pains de mie,Pains briochés
Pains de mie,Pains de campagne
Pains de mie,Pains de mie blancs nature
Petits pois,Petits pois en conserve
Petits pois,Petits pois surgelés
Petits pois,Petits pois et carottes en conserve
Laits UHT,Laits ESL
Laits UHT,Laits pasteurisés
Laits UHT,Laits demi écrémés biologiques
Laits UHT,Laits à teneur réduite en lactose
Laits UHT,Aide alimentaire
Laits UHT,Laits de vache
Laits UHT,Laits demi écrémés UHT
Laits UHT,Laits écrémés
Laits UHT,Laits entiers
Beurres de crème douce,Mini beurres
Beurres de crème douce,Beurre Charentes Poitou
Beurres de crème douce,Beurre doux à 82% MG
Beurres de crème douce,BEURRES & MARGARINES
Beurres de crème douce,Beurre d'Isigny
Laits demi écrémés biologiques,Laits demi écrémés UHT
Yaourts au lait de vache,Yaourts à la grecque
Yaourts au lait de vache,Yaourts au citron
Yaourts au lait de vache,Yaourts aromatisés
Yaourts au lait de vache,Yaourts entiers
Yaourts au lait de vache,Yaourts aux figues
Yaourts au lait de vache,Yaourts brassés aux fruits
Yaourts au lait de vache,Yaourts à la framboise
Yaourts au lait de vache,Yaourts brassés nature
Épinards,Épinards en branches
Épinards,Épinards surgelés
Épinards,Épinards en conserve
Épinards,Epinards haches
Boissons alcoolisées,Liqueurs
Boissons alcoolisées,Alcools forts
Boissons alcoolisées,Bières
Boissons alcoolisées,Pastis
Boissons alcoolisées,Digestifs
Boissons alcoolisées,Cidres
Boissons alcoolisées,Vins
Boissons alcoolisées,Boissons à base de vin
Compotes à boire,Compotes pour bébé
Compotes à boire,Compotes allégées
Compotes à boire,Compotes pomme nature bio
Compotes à boire,Compotes de pomme mirabelle
Compotes à boire,Compotes pommes poires
Compotes à boire,Compotes pommes fraise
Olives vertes,Olives marinées
Olives vertes,Olives dénoyautées
Olives vertes,Poulpe
Olives vertes,Olives vertes en saumure
Œufs,Œufs de cailles
Œufs,Œufs frais
Œufs,Œufs de poules
Huiles d'olive vierges extra,Huiles d'olive vierges
Saumons,Filets de saumon
Saumons,Saumons marinés
Saumons,Saumons d'élevage
Saumons,Pavés de saumon
Saumons,Saumons sauvages
Saumons,Saumon en conserve
Beurres de fruits à coques,Beurres de cacahuètes
Beurres de fruits à coques,Purées de noix de cajou
Laits homogénéisés,Laits UHT
Laits homogénéisés,Laits ESL
Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao
Jus de pomme,Jus de pomme à base de concentré
Jus de pomme,Jus de pommes pur jus
Jus de pomme,Jus de pomme pétillants
Fromages râpés,Mozzarella râpée
Fromages râpés,Emmentals râpés
Fromages râpés,Mélange de fromages
Fromages râpés,Parmigiano Reggiano
Fromages râpés,Fromages britanniques
Fromages râpés,Fromages industriels
Alcools artisanaux,Cidres artisanaux
Alcools artisanaux,Bières artisanales
Confiseries,Chewing gum
Confiseries,Confiseries chocolatées
Confiseries,Snacks sucrés
Confiseries,Caramels
Confiseries,Snacks sucres
Confiseries,Surgelés
Confiseries,Bonbons
Steak haché de bœuf à 5% de matières grasses,Steaks hachés de bœuf surgelés
Steak haché de bœuf à 5% de matières grasses,Steaks hachés de bœuf frais
Purée de fruits sans sucres ajoutés,Purée de pomme
Purée de fruits sans sucres ajoutés,Compotes pommes poires
Purée de fruits sans sucres ajoutés,Compotes pommes fraise
Purée de fruits sans sucres ajoutés,Compotes pommes pruneau
Boissons sans sucre ajouté,Eaux de montagne
Boissons sans sucre ajouté,Café de Colombie
