Price,Price per Unit,Brand,category,Description,URL
1.68,2.8,franprix bio,Haricots verts surgelés,Haricots verts,https://www.franprix.fr/courses/p/haricots-verts-tres-fins-bio-99179201
3.55,8.7,franprix bio,Œufs de poules élevées en plein air,Œufs de poules,https://www.franprix.fr/courses/p/ufs-calibre-gros-bio-99129938
2.88,5.33,franprix bio,Vegetables based foods,Fruits and vegetables based foods,https://www.franprix.fr/courses/p/brocolis-en-fleurette-bio-99181398
3.19,7.09,franprix,Pommes de terre,Céréales et pommes de terre,https://www.franprix.fr/courses/p/pommes-de-terre-wedges-aux-herbes-bio-99168754
5.8,10.0,franprix bio,Œufs de poules élevées en plein air,Œufs de poules,https://www.franprix.fr/courses/p/ufs-calibre-moyen-bio-99127477
2.9,11.6,Le Gall,BEURRES & MARGARINES,Beurres de baratte,https://www.franprix.fr/courses/p/beurre-de-baratte-moulu-demi-sel-bio-99160223
1.9,15.2,franprix bio,Mozzarella,Fromages à pâte filée,https://www.franprix.fr/courses/p/mozzarella-bio-99125011
3.1,11.07,Brioche Pasquier,Pains au lait,Viennoiseries,https://www.franprix.fr/courses/p/pains-au-lait-bio-99163966
3.8,7.6,La boulangère,Pains de mie aux céréales,Pains de mie,https://www.franprix.fr/courses/p/pain-de-mie-aux-cereales-bio-99169597
2.12,4.71,franprix,Petits pois surgelés,Petits pois,https://www.franprix.fr/courses/p/petits-pois-bio-99179204
7.95,1.32,franprix bio,Laits demi écrémés biologiques,Laits UHT,https://www.franprix.fr/courses/p/lait-demi-ecreme-bio-99122237
2.9,11.6,Le Gall,BEURRES & MARGARINES,Beurres de crème douce,https://www.franprix.fr/courses/p/beurre-de-baratte-doux-bio-99160222
1.42,1.42,franprix bio,Laits demi écrémés biologiques,Laits UHT,https://www.franprix.fr/courses/p/lait-demi-ecreme-bio-99122434
2.05,2.05,Lactel,Laits demi écrémés UHT,Laits demi écrémés biologiques,https://www.franprix.fr/courses/p/lait-demi-ecreme-99028303
1.25,2.5,franprix bio,Yaourts entiers,Yaourts au lait de vache,https://www.franprix.fr/courses/p/yaourt-au-lait-entier-nature-bio-99117444
1.72,2.87,franprix bio,Épinards surgelés,Épinards,https://www.franprix.fr/courses/p/epinards-en-branches-bio-99179203
11.05,14.73,Villa veroni,Vins,Boissons alcoolisées,https://www.franprix.fr/courses/p/prosecco-vin-petillant-extra-sec-bio-99165914
11.1,10.28,Pom'potes,Compotes pommes fraise,Compotes à boire,https://www.franprix.fr/courses/p/compote-gourde-multivarietes-bio-99164355
4.7,31.33,Atelier blini,Olives dénoyautées,Olives vertes,https://www.franprix.fr/courses/p/olives-au-basilic-bio-99160221
6.65,10.55,L'œuf de nos villages,Œufs de poules,Œufs,https://www.franprix.fr/courses/p/ufs-bio-calibre-moyen-99164065
8.7,11.6,franprix bio,Huiles d'olive vierges,Huiles d'olive vierges extra,https://www.franprix.fr/courses/p/huile-dolive-vierge-extra-bio-99121722
4.25,11.24,L'œuf de nos villages,Œufs frais,Œufs,https://www.franprix.fr/courses/p/ufs-bio-99164069
6.44,32.2,franprix bio,Pavés de saumon,Saumons,https://www.franprix.fr/courses/p/paves-de-saumon-origine-irlande-b-99170264
3.37,9.63,Ethiquable,Beurres de cacahuètes,Beurres de fruits à coques,https://www.franprix.fr/courses/p/beurre-de-cacahuete-bio-99178136
11.86,1.98,Lactel,Laits UHT,Laits homogénéisés,https://www.franprix.fr/courses/p/lait-demi-ecreme-bio-99069544
3.4,9.71,Jardin Bio,Pâtes à tartiner aux noisettes et au cacao,Pâtes à tartiner au chocolat,https://www.franprix.fr/courses/p/pate-a-tartiner-chocolat-noisettes-bio-99055129
3.05,2.87,franprix,Jus de pommes pur jus,Jus de pomme,https://www.franprix.fr/courses/p/jus-pomme-sans-sucres-ajoutes-100-pur-jus-bio-99176957
1.8,18.0,franprix bio,Emmentals râpés,Fromages râpés,https://www.franprix.fr/courses/p/emmental-rape-bio-99122243
3.65,4.87,franprix,Cidres artisanaux,Alcools artisanaux,https://www.franprix.fr/courses/p/cidre-artisanal-demi-sec-bio-99174380
2.6,20.0,Krema,Bonbons,Confiseries,https://www.franprix.fr/courses/p/pate-a-macher-fruits-rouges-bio-99163910
7.16,17.9,franprix,Steaks hachés de bœuf surgelés,Steak haché de bœuf à 5% de matières grasses,https://www.franprix.fr/courses/p/steaks-haches-facon-bouchere-bio-5-mg-99141866
3.09,4.54,Jardin Bio,Compotes pommes poires,Purée de fruits sans sucres ajoutés,https://www.franprix.fr/courses/p/compotes-pomme-poire-bio-99055083
3.1,3.1,Bjorg,Boissons vegetales a base d avoine,Boissons sans sucre ajouté,https://www.franprix.fr/courses/p/boisson-vegetale-lait-davoine-bio-99117877
1.65,5.5,franprix bio,Maïs doux en conserve,Maïs en conserve,https://www.franprix.fr/courses/p/mais-doux-bio-99106834
3.2,9.7,La boulangère,Pains de mie complet,Pains complets,https://www.franprix.fr/courses/p/pain-de-mie-complet-sans-croute-bio-99182948
12.46,2.08,Matin leger,Laits demi écrémés biologiques,Laits à teneur réduite en lactose,https://www.franprix.fr/courses/p/lait-demi-ecreme-sans-lactose-bio-99068105
9.8,81.67,franprix bio,Saumons fumés d'élevage,Saumons fumés,https://www.franprix.fr/courses/p/saumon-fume-au-bois-de-hetre-bio-origine-norvege-4-tranches-99129545
2.73,11.77,franprix bio,Œufs de poules élevées en plein air,Œufs de poules,https://www.franprix.fr/courses/p/ufs-calibre-gros-bio-99169321
2.84,6.31,franprix,Pommes rissolées surgelées cuites,Pommes de terre rissolées surgelées,https://www.franprix.fr/courses/p/pommes-de-terre-rissolees-bio-99168753
2.9,5.8,Malo,Yaourts aromatisés,Yaourts vanille,https://www.franprix.fr/courses/p/yaourt-au-lait-entier-vanille-bio-99133896
2.8,11.11,La nouvelle agriculture,Œufs de poules,Œufs,https://www.franprix.fr/courses/p/ufs-bio-99187561
2.65,53.0,franprix bio,Parmigiano Reggiano,Fromages italiens,https://www.franprix.fr/courses/p/parmesan-parmigiano-reggiano-aop-rape-bio-99168612
1.75,1.75,franprix bio,Boissons végétales de soja,Boissons végétales de légumineuses,https://www.franprix.fr/courses/p/boisson-au-soja-nature-bio-99118186
2.25,9.0,franprix bio,Tagliatelles aux œufs,Nouilles aux oeufs,https://www.franprix.fr/courses/p/tagliatelles-fraiches-bio-99175154
1.85,3.7,Vrai,Yaourts natures,Yaourts,https://www.franprix.fr/courses/p/yaourt-nature-bio-99083745
3.56,7.91,franprix,Pomme de terre Grenaille,Pommes de terre,https://www.franprix.fr/courses/p/pomme-de-terre-grenaille-bio-99168752
11.15,1.86,Lactel,Laits écrémés UHT,Laits écrémés,https://www.franprix.fr/courses/p/lait-ecreme-bio-99034482
3.0,3.0,Bjorg,Unsweetened plain almond based drinks,Almond based drinks,https://www.franprix.fr/courses/p/boisson-vegetale-lait-damande-sans-sucre-bio-99123218
3.55,35.5,franprix bio,Amandes grillées,Amandes,https://www.franprix.fr/courses/p/amandes-grillees-bio-99160293
1.9,1.9,Lactel,Laits écrémés,Laits UHT,https://www.franprix.fr/courses/p/lait-ecreme-bio-99014574
12.09,16.12,Carapelli,Huiles d'olive vierges,Huiles d'olive vierges extra,https://www.franprix.fr/courses/p/huile-dolive-classique-bio-99132255
2.13,2.13,Matin leger,Laits demi écrémés UHT,Laits à teneur réduite en lactose,https://www.franprix.fr/courses/p/lait-sans-lactose-bio-99069650
3.4,13.6,franprix bio,Beurres de crème douce,Beurres moulés,https://www.franprix.fr/courses/p/beurre-moule-doux-bio-99122437
3.45,15.68,Céréal bio,Quinoa,Céréales en grains,https://www.franprix.fr/courses/p/quinoa-nature-bio-99139582
2.75,2.75,franprix bio,Boissons à l'avoine,Boissons végétales de céréales,https://www.franprix.fr/courses/p/boisson-avoine-bio-99142796
1.65,16.5,franprix bio,Chocolats noirs,Chocolats,https://www.franprix.fr/courses/p/tablette-chocolat-noir-bio-99119761
3.65,36.5,franprix bio,Noix de Cajou grillées,Noix de cajou,https://www.franprix.fr/courses/p/noix-de-cajou-grillees-bio-99160292
6.89,68.9,franprix,Saumons fumés,Poissons fumés,https://www.franprix.fr/courses/p/eminces-de-saumon-fume-nature-bio-99181905
3.25,9.03,Pom'potes,Compotes à boire,Compotes de pomme,https://www.franprix.fr/courses/p/compote-gourdes-pomme-golden-bio-99146796
1.6,1.6,franprix bio,Laits entiers,Laits,https://www.franprix.fr/courses/p/lait-entier-bio-99182428
5.76,12.8,franprix,Framboises surgelées,Fruits rouges surgelés,https://www.franprix.fr/courses/p/framboises-entieres-bio-99167970
2.79,5.58,Barilla,Coquillettes de blé dur,Coquillettes,https://www.franprix.fr/courses/p/coquillettes-bio-99133101
2.56,25.6,Bonduelle,Salades vertes,Légumes feuilles,https://www.franprix.fr/courses/p/feuille-de-chene-bio-99137361
2.3,9.2,Malo,Desserts lactés au chocolat,Laits emprésurés au chocolat,https://www.franprix.fr/courses/p/yaourt-empresure-chocolat-bio-99136841
2.52,5.04,Malo,YAOURTS & FROMAGES BLANCS,Yaourts entiers,https://www.franprix.fr/courses/p/yaourt-au-lait-entier-nature-bio-99133897
2.47,6.5,Les 2 vaches,Crèmes dessert chocolat réfrigérées,Crèmes dessert rayon frais,https://www.franprix.fr/courses/p/creme-dessert-chocolat-bio-99141106
3.73,3.73,Bjorg,Laits d'amande natures sucrés,Laits d'amande,https://www.franprix.fr/courses/p/boisson-vegetale-au-lait-damande-intense-bio-99041738
3.25,14.77,Céréal bio,Céréales préparées,Plats préparés,https://www.franprix.fr/courses/p/ble-riz-rouge-et-quinoa-bio-99099521
2.95,10.54,Géant vert,Maïs en grain,Maïs doux en conserve,https://www.franprix.fr/courses/p/mais-extra-croquant-bio-99171768
2.3,4.6,Franprix,Riz Basmati,Riz long grain,https://www.franprix.fr/courses/p/riz-basmati-bio-99132918
1.2,12.0,franprix bio,Galettes de maïs soufflé,Galettes de céréales soufflées,https://www.franprix.fr/courses/p/galette-de-mais-bio-99120447
2.57,5.59,Les 2 vaches,Yaourts brassés aux fruits,Yaourts au lait de vache,https://www.franprix.fr/courses/p/yaourt-myrtille-sauvage-bio-99134273
4.2,8.4,Taureau ailé,Riz Basmati blancs,Riz Basmati,https://www.franprix.fr/courses/p/riz-basmati-bio-99130500
5.9,15.73,Bjorg,Mueslis aux fruits,Mueslis,https://www.franprix.fr/courses/p/cereales-muesli-superfruits-bio-99123219
1.8,1.8,franprix,Boissons végétales de soja à la vanille,Boissons avec sucre ajouté,https://www.franprix.fr/courses/p/boisson-au-soja-vanille-bio-99118188
3.45,13.8,franprix bio,Ravioli ricotta & épinards,Tortellini,https://www.franprix.fr/courses/p/ravioli-ricotta-epinards-bio-99178573
2.41,2.41,Bjorg,Boissons de soja nature non sucrées,Boissons végétales de soja,https://www.franprix.fr/courses/p/boisson-vegetale-soja-nature-sans-sucres-ajoutes-bio-99011699
2.26,2.26,Lactel,Laits entiers,Laits UHT,https://www.franprix.fr/courses/p/lait-entier-bio-99028368
2.65,5.3,franprix bio,Flocons d'avoine,Flocons laminés,https://www.franprix.fr/courses/p/cereales-flocons-davoine-complet-bio-99168072
3.31,6.62,La boulangère,Wholemeal sliced breads,Wholemeal breads,https://www.franprix.fr/courses/p/pain-de-mie-complet-bio-grandes-tranches-99063551
9.76,13.01,Perlino,Prosecco,Vins italiens,https://www.franprix.fr/courses/p/prosecco-vin-petillant-extra-sec-bio-99164585
6.93,9.24,Autrement,IGP PAYS D'OC,Chardonnay,https://www.franprix.fr/courses/p/chardonnay-igp-bio-vin-blanc-99055347
3.1,6.2,Bjorg,Flocons d'avoine,Flocons laminés,https://www.franprix.fr/courses/p/flocons-davoine-nature-bio-99055770
3.4,13.6,franprix,Beurres demi sel,Beurres,https://www.franprix.fr/courses/p/beurre-moule-demi-sel-bio-99122412
3.4,9.44,Pom'potes,Compotes pommes fraise,Compotes de pomme,https://www.franprix.fr/courses/p/compote-gourdes-pomme-fraise-bio-99146797
1.0,2.0,franprix bio,Laits demi écrémés biologiques,Laits UHT,https://www.franprix.fr/courses/p/lait-demi-ecreme-bio-99158033
3.73,3.73,Bjorg,Laits d'amande natures sucrés,Laits d'amande,https://www.franprix.fr/courses/p/boisson-vegetale-lait-damande-calcium-bio-99092785
4.4,17.6,franprix bio,Sirops d'agave,Sirops simples,https://www.franprix.fr/courses/p/sirop-dagave-bio-99126327
2.75,18.33,franprix,Biscuits tablette de chocolat,Biscuits au chocolat,https://www.franprix.fr/courses/p/biscuits-petits-beurre-au-chocolat-au-lait-bio-99176804
3.85,17.11,Bjorg,Biscuits au chocolat noir,Biscuits fourrés,https://www.franprix.fr/courses/p/biscuits-fourres-chocolat-noir-bio-99011685
2.2,3.67,franprix bio,Mélanges de légumes surgelés,Mélanges de légumes,https://www.franprix.fr/courses/p/melange-legumes-bio-99179202
1.95,9.75,Kara,Coconut milks and creams,Plant based creams for cooking,https://www.franprix.fr/courses/p/lait-de-coco-bio-99172021
