Price,Price per Unit,Brand,category,Description,URL
12.03,2.01,LACTEL,Laits à teneur réduite en lactose,Laits sans lactose,https://www.auchan.fr/lactel-matin-leger-lait-facile-a-digerer-sans-lactose/pr-C1177828
13.71,2.29,LACTEL,Laits écrémés UHT,Laits à teneur réduite en lactose,https://www.auchan.fr/lactel-matin-leger-lait-ecreme-facile-a-digerer-sans-lactose/pr-C1177678
4.58,18.32,PAYSAN BRETON,Beurres moulés,Beurres demi-sel,https://www.auchan.fr/paysan-breton-beurre-aux-cristaux-de-sel-de-guerande/pr-C1174491
2.13,2.13,BJORG,Boissons de soja nature non sucrées,Boissons végétales de soja,https://www.auchan.fr/bjorg-boisson-vegetale-soja-bio-sans-sucres/pr-C1274520
3.55,3.55,BJORG,Boissons multivégétaux,Boissons sans sucre ajouté,https://www.auchan.fr/bjorg-boisson-vegetale-epeautre-noisette-bio-sans-sucres-ajoutes/pr-C1260914
7.46,1.24,AUCHAN SOLIDAIRES BIO CULTIVONS LE BON UHT,ESL milks,Semi-skimmed milks,https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-lait-demi-ecreme-uht/pr-C1306935
7.87,1.31,AUCHAN SOLIDAIRES BIO CULTIVONS LE BON UHT,Laits ESL,Laits UHT,https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-lait-demi-ecreme-uht/pr-C1170544
7.73,1.29,AUCHAN SOLIDAIRES CULTIVONS LE BON UHT,Laits ESL,Laits de vache,https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-lait-demi-ecreme-uht/pr-C1170543
7.11,7.11,AUCHAN SOLIDAIRES CULTIVONS LE BON UHT,Laits ESL,Laits écrémés,https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-lait-ecreme-equitable-uht/pr-C1170529
8.28,1.38,AUCHAN SOLIDAIRES CULTIVONS LE BON UHT,Laits ESL,Laits de vache,https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-lait-entier-uht/pr-C1170527
5.75,0.96,POUCE UHT,Laits ESL,Laits UHT,https://www.auchan.fr/pouce-lait-demi-ecreme-uht/pr-C1177651
9.03,1.13,AUCHAN UHT,Laits ESL,Laits demi-écrémés,https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1176888
7.18,1.2,AUCHAN UHT,Laits ESL,Laits demi-écrémés,https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1177774
2.21,2.21,LACTEL,Laits pasteurisés,Laits demi-écrémés,https://www.auchan.fr/lactel-lait-frais-pasteurise-demi-ecreme/pr-C1177893
7.62,1.27,C EST QUI LE PATRON UHT,Laits UHT,Laits demi-écrémés,https://www.auchan.fr/c-est-qui-le-patron-lait-demi-ecreme-equitable-uht/pr-C1169523
8.47,1.41,LACTEL UHT,Laits,Produits laitiers,https://www.auchan.fr/lactel-lait-demi-ecreme-uht/pr-C1178046
9.0,1.5,CANDIA UHT,Laits UHT,Laits demi-écrémés,https://www.auchan.fr/candia-grandlait-lait-demi-ecreme-uht/pr-C1177798
7.93,1.32,CANDIA UHT,Laits UHT,Laits demi-écrémés,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177788
7.39,2.46,AUCHAN UHT,Laits ESL,Laits homogénéisés,https://www.auchan.fr/auchan-lait-facile-a-digerer-sans-lactose-uht/pr-C1454327
10.82,1.8,LACTEL UHT,Laits UHT,Laits homogénéisés,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178021
5.94,0.99,AUCHAN,Laits ESL,Laits demi-écrémés,https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1171127
