Category;Description;Price;Price per Unit;URL
lait-demi-ecreme;LACTEL Matin léger Lait facile à digérer sans lactose;12.03€;2,01€ / l;https://www.auchan.fr/lactel-matin-leger-lait-facile-a-digerer-sans-lactose/pr-C1177828
lait-demi-ecreme;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Lait demi-écrémé UHT;7.46€;1,24€ / l;https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-lait-demi-ecreme-uht/pr-C1306935
lait-demi-ecreme;LACTEL Lait demi-écrémé bio UHT;10.82€;1,80€ / l;https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178021
lait-demi-ecreme;LACTEL Lait demi-écrémé vitamine D;10.50€;1,05€ / l;https://www.auchan.fr/lactel-lait-demi-ecreme-vitamine-d/pr-C1424962
lait-demi-ecreme;LACTEL Lait demi-écrémé bio;14.18€;1,42€ / l;https://www.auchan.fr/lactel-lait-demi-ecreme-bio/pr-C1551013
lait-demi-ecreme;AUCHAN Lait demi-écrémé;5.94€;0,99€ / l;https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1171127
lait-demi-ecreme;POUCE Lait demi-écrémé UHT;5.75€;0,96€ / l;https://www.auchan.fr/pouce-lait-demi-ecreme-uht/pr-C1177651
lait-demi-ecreme;LACTEL Lait frais pasteurisé demi-écrémé;2.21€;2,21€ / l;https://www.auchan.fr/lactel-lait-frais-pasteurise-demi-ecreme/pr-C1177893
lait-demi-ecreme;C'EST QUI LE PATRON ?! Lait demi-écrémé équitable UHT;7.62€;1,27€ / l;https://www.auchan.fr/c-est-qui-le-patron-lait-demi-ecreme-equitable-uht/pr-C1169523
lait-demi-ecreme;AUCHAN Lait demi-écrémé UHT;7.18€;1,20€ / l;https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1177774
lait-demi-ecreme;AUCHAN Lait demi-écrémé UHT;9.03€;1,13€ / l;https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1176888
lait-demi-ecreme;LACTEL Lait demi-écrémé vitamine D stérilisé UHT;9.20€;1,02€ / l;https://www.auchan.fr/lactel-lait-demi-ecreme-vitamine-d-sterilise-uht/pr-C1176925
lait-demi-ecreme;CANDIA Grandlait lait demi-écrémé UHT;9.00€;1,50€ / l;https://www.auchan.fr/candia-grandlait-lait-demi-ecreme-uht/pr-C1177798
lait-demi-ecreme;AUCHAN Lait facile à digérer sans lactose UHT;7.39€;2,46€ / l;https://www.auchan.fr/auchan-lait-facile-a-digerer-sans-lactose-uht/pr-C1454327
